item_type,item_id,doi_or_source,statement_or_entity,locator,decision,corrected_value,reviewer,review_status,notes
entity_evidence,ev-entity-10-1175-jas-d-20-0248-1-radiosonde,10.1175/jas-d-20-0248.1,radiosonde,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-esd-9-895-2018-cmip5,10.5194/esd-9-895-2018,CMIP5,PDF page 9,,,,pending_expert_review,
entity_evidence,ev-entity-10-1080-16000889-2021-1971925-lidar,10.1080/16000889.2021.1971925,lidar,PDF page 9,,,,pending_expert_review,
entity_evidence,ev-entity-10-1080-16000889-2021-1971925-ecmwf,10.1080/16000889.2021.1971925,ECMWF,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-1007-s00382-018-4074-x-era-interim,10.1007/s00382-018-4074-x,ERA-Interim,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-wcd-1-731-2020-era-interim,10.5194/wcd-1-731-2020,ERA-Interim,PDF page 13,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-bams-d-17-0138-1-trmm,10.1175/bams-d-17-0138.1,TRMM,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-bams-d-16-0324-1-lidar,10.1175/bams-d-16-0324.1,lidar,PDF page 2,,,,pending_expert_review,
entity_evidence,ev-entity-10-1029-2019gl085782-cesm,10.1029/2019gl085782,CESM,PDF page 2,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jamc-d-16-0082-1-eddy-covariance,10.1175/jamc-d-16-0082.1,eddy covariance,PDF page 15,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-esd-11-995-2020-era5,10.5194/esd-11-995-2020,ERA5,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jhm-d-17-0152-1-ecmwf,10.1175/jhm-d-17-0152.1,ECMWF,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-1002-joc-4775-era-interim,10.1002/joc.4775,ERA-Interim,PDF page 20,,,,pending_expert_review,
entity_evidence,ev-entity-10-1038-s41612-021-00192-9-calipso,10.1038/s41612-021-00192-9,CALIPSO,PDF page 7,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jamc-d-17-0132-1-ecmwf,10.1175/jamc-d-17-0132.1,ECMWF,PDF page 4,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-esd-12-1-2021-wrf,10.5194/esd-12-1-2021,WRF,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-amt-11-1459-2018-lidar,10.5194/amt-11-1459-2018,lidar,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jcli-d-21-0982-1-cmip6,10.1175/jcli-d-21-0982.1,CMIP6,PDF page 20,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-acp-16-4205-2016-cmip5,10.5194/acp-16-4205-2016,CMIP5,PDF page 5,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-cp-13-1851-2017-cmip5,10.5194/cp-13-1851-2017,CMIP5,PDF page 2,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-waf-d-21-0163-1-jra-55,10.1175/waf-d-21-0163.1,JRA-55,PDF page 4,,,,pending_expert_review,
entity_evidence,ev-entity-10-1007-s00382-020-05231-4-cmip5,10.1007/s00382-020-05231-4,CMIP5,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-gmd-10-4145-2017-wrf,10.5194/gmd-10-4145-2017,WRF,PDF page 2,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jcli-d-20-0412-1-wrf,10.1175/jcli-d-20-0412.1,WRF,PDF page 2,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-cp-16-847-2020-ecmwf,10.5194/cp-16-847-2020,ECMWF,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jcli-d-16-0076-1-ecmwf,10.1175/jcli-d-16-0076.1,ECMWF,PDF page 10,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-bams-d-18-0341-1-ecmwf,10.1175/bams-d-18-0341.1,ECMWF,PDF page 9,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-wcd-1-577-2020-era5,10.5194/wcd-1-577-2020,ERA5,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-esd-11-1233-2020-cesm,10.5194/esd-11-1233-2020,CESM,PDF page 5,,,,pending_expert_review,
entity_evidence,ev-entity-10-1029-2019gl085782-calipso,10.1029/2019gl085782,CALIPSO,PDF page 10,,,,pending_expert_review,
entity_evidence,ev-entity-10-1080-16000889-2018-1565030-ecmwf,10.1080/16000889.2018.1565030,ECMWF,PDF page 4,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-acp-19-11031-2019-merra-2,10.5194/acp-19-11031-2019,MERRA-2,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-wcd-1-497-2020-ecmwf,10.5194/wcd-1-497-2020,ECMWF,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-1007-s00382-017-3558-4-trmm,10.1007/s00382-017-3558-4,TRMM,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-cp-16-1581-2020-cmip5,10.5194/cp-16-1581-2020,CMIP5,PDF page 4,,,,pending_expert_review,
entity_evidence,ev-entity-10-1029-2019gl085782-ecmwf,10.1029/2019gl085782,ECMWF,PDF page 10,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-gmd-11-5027-2018-ecmwf,10.5194/gmd-11-5027-2018,ECMWF,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-1007-s00382-019-04698-0-cmip5,10.1007/s00382-019-04698-0,CMIP5,PDF page 19,,,,pending_expert_review,
entity_evidence,ev-entity-10-1007-s00382-020-05409-w-cesm,10.1007/s00382-020-05409-w,CESM,PDF page 9,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-amt-9-4955-2016-ecmwf,10.5194/amt-9-4955-2016,ECMWF,PDF page 10,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jcli-d-20-0505-1-era5,10.1175/jcli-d-20-0505.1,ERA5,PDF page 4,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-gmd-12-1573-2019-ecmwf,10.5194/gmd-12-1573-2019,ECMWF,PDF page 13,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-bams-d-19-0037-1-ecmwf,10.1175/bams-d-19-0037.1,ECMWF,PDF page 2,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-cp-13-1491-2017-ecmwf,10.5194/cp-13-1491-2017,ECMWF,PDF page 5,,,,pending_expert_review,
entity_evidence,ev-entity-10-1007-s10546-021-00652-y-modis,10.1007/s10546-021-00652-y,MODIS,PDF page 12,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jhm-d-17-0152-1-wrf,10.1175/jhm-d-17-0152.1,WRF,PDF page 18,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-wcd-2-535-2021-era5,10.5194/wcd-2-535-2021,ERA5,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-esd-7-681-2016-cmip5,10.5194/esd-7-681-2016,CMIP5,PDF page 2,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-bams-d-17-0138-1-era-interim,10.1175/bams-d-17-0138.1,ERA-Interim,PDF page 2,,,,pending_expert_review,
entity_evidence,ev-entity-10-1002-joc-8160-cmip6,10.1002/joc.8160,CMIP6,PDF page 15,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-waf-d-18-0146-1-gfs,10.1175/waf-d-18-0146.1,GFS,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-1002-met-2122-modis,10.1002/met.2122,MODIS,PDF page 10,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-wcd-1-617-2020-doppler-radar,10.5194/wcd-1-617-2020,Doppler radar,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-1029-2021ef002567-era-interim,10.1029/2021ef002567,ERA-Interim,PDF page 16,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jamc-d-16-0358-1-radiosonde,10.1175/jamc-d-16-0358.1,radiosonde,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-wcd-1-617-2020-lidar,10.5194/wcd-1-617-2020,lidar,PDF page 17,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-gmd-13-3299-2020-cesm,10.5194/gmd-13-3299-2020,CESM,PDF page 18,,,,pending_expert_review,
entity_evidence,ev-entity-10-1007-s00382-018-4289-x-cmip6,10.1007/s00382-018-4289-x,CMIP6,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-acp-20-6323-2020-wrf,10.5194/acp-20-6323-2020,WRF,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-acp-19-3493-2019-wrf-chem,10.5194/acp-19-3493-2019,WRF-Chem,PDF page 13,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jtech-d-19-0220-1-eddy-covariance,10.1175/jtech-d-19-0220.1,eddy covariance,PDF page 2,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-acp-16-3761-2016-cmip5,10.5194/acp-16-3761-2016,CMIP5,PDF page 4,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jhm-d-18-0175-1-era-interim,10.1175/jhm-d-18-0175.1,ERA-Interim,PDF page 2,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-waf-d-18-0149-1-gfs,10.1175/waf-d-18-0149.1,GFS,PDF page 13,,,,pending_expert_review,
entity_evidence,ev-entity-10-1002-met-2065-era5,10.1002/met.2065,ERA5,PDF page 2,,,,pending_expert_review,
entity_evidence,ev-entity-10-1007-s10546-019-00452-5-lidar,10.1007/s10546-019-00452-5,lidar,PDF page 19,,,,pending_expert_review,
entity_evidence,ev-entity-10-1038-s41612-022-00272-4-cmip5,10.1038/s41612-022-00272-4,CMIP5,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-waf-d-16-0062-1-ecmwf,10.1175/waf-d-16-0062.1,ECMWF,PDF page 6,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jcli-d-19-1013-1-ecmwf,10.1175/jcli-d-19-1013.1,ECMWF,PDF page 18,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-esd-10-91-2019-cmip5,10.5194/esd-10-91-2019,CMIP5,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-waf-d-18-0074-1-ecmwf,10.1175/waf-d-18-0074.1,ECMWF,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-1002-joc-5462-ecmwf,10.1002/joc.5462,ECMWF,PDF page 5,,,,pending_expert_review,
entity_evidence,ev-entity-10-1080-16000889-2021-1971925-era-interim,10.1080/16000889.2021.1971925,ERA-Interim,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-acp-16-2597-2016-eddy-covariance,10.5194/acp-16-2597-2016,eddy covariance,PDF page 10,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-bams-d-17-0003-1-era-interim,10.1175/bams-d-17-0003.1,ERA-Interim,PDF page 16,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-gmd-13-2197-2020-era-interim,10.5194/gmd-13-2197-2020,ERA-Interim,PDF page 11,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-wcd-3-845-2022-cmip5,10.5194/wcd-3-845-2022,CMIP5,PDF page 3,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-mwr-d-19-0110-1-gpm,10.1175/mwr-d-19-0110.1,GPM,PDF page 6,,,,pending_expert_review,
entity_evidence,ev-entity-10-1038-s41612-021-00190-x-cmip5,10.1038/s41612-021-00190-x,CMIP5,PDF page 8,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-gmd-10-3979-2017-cmip5,10.5194/gmd-10-3979-2017,CMIP5,PDF page 19,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jamc-d-16-0415-1-era-interim,10.1175/jamc-d-16-0415.1,ERA-Interim,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-5194-amt-10-4905-2017-radiosonde,10.5194/amt-10-4905-2017,radiosonde,PDF page 6,,,,pending_expert_review,
entity_evidence,ev-entity-10-1007-s10546-020-00541-w-ecmwf,10.1007/s10546-020-00541-w,ECMWF,PDF page 12,,,,pending_expert_review,
entity_evidence,ev-entity-10-1038-s41612-019-0073-9-modis,10.1038/s41612-019-0073-9,MODIS,PDF page 8,,,,pending_expert_review,
entity_evidence,ev-entity-10-1175-jamc-d-20-0053-1-merra-2,10.1175/jamc-d-20-0053.1,MERRA-2,PDF page 1,,,,pending_expert_review,
entity_evidence,ev-entity-10-1038-s41612-021-00190-x-era5,10.1038/s41612-021-00190-x,ERA5,PDF page 1,,,,pending_expert_review,
