doi,title,year,journal,predicted_themes,gold_themes,reviewer,review_status,notes
https://doi.org/10.1002/2016jd024751,The last millennium climate reanalysis project: Framework and first results,2016,Journal of Geophysical Research: Atmospheres,climate-variability-change,,,pending_human_review,
https://doi.org/10.1002/asl.858,The role of synoptic‐scale waves in the onset of the South China Sea summer monsoon,2018,Atmospheric Science Letters,dynamics-weather-systems;climate-variability-change,,,pending_human_review,
https://doi.org/10.5194/wcd-2-535-2021,Potential-vorticity dynamics of troughs and ridges within Rossby wave packets during a 40-year reanalysis period,2021,Weather and Climate Dynamics,dynamics-weather-systems;climate-variability-change,,,pending_human_review,
https://doi.org/10.1175/bams-d-17-0267.1,CESM1(WACCM) Stratospheric Aerosol Geoengineering Large Ensemble Project,2018,Bulletin of the American Meteorological Society,forecasting-predictability;cloud-precipitation-microphysics;atmospheric-chemistry;aerosols;climate-variability-change;earth-system-models,,,pending_human_review,
https://doi.org/10.1029/2020ef001778,Increased Flood Exposure Due to Climate Change and Population Growth in the United States,2020,Earth's Future,air-quality-exposure;climate-variability-change;extremes,,,pending_human_review,
https://doi.org/10.5194/acp-20-6323-2020,Worsening urban ozone pollution in China from 2013 to 2017 – Part 2: The effects of emission changes and implications for multi-pollutant control,2020,Atmospheric Chemistry and Physics,forecasting-predictability;atmospheric-chemistry;aerosols;air-quality-exposure;land-atmosphere,,,pending_human_review,
https://doi.org/10.1007/s00704-022-03992-y,"Climate of Iran according to Köppen-Geiger, Feddema, and UNEP climate classifications",2022,Theoretical and Applied Climatology,dynamics-weather-systems;climate-variability-change,,,pending_human_review,
https://doi.org/10.1029/2019ef001170,The Exceptional 2018 European Water Seesaw Calls for Action on Adaptation,2019,Earth's Future,dynamics-weather-systems;climate-variability-change,,,pending_human_review,
https://doi.org/10.1007/s00704-019-02879-9,Trend analysis of significant wave height and energy period in southern Italy,2019,Theoretical and Applied Climatology,dynamics-weather-systems;remote-sensing-retrieval,,,pending_human_review,
https://doi.org/10.1175/jhm-d-20-0082.1,Streamflow simulation in data-scarce basins using Bayesian and physics-informed machine learning models,2021,Journal of Hydrometeorology,forecasting-predictability;extremes;hydrometeorology;statistics-causal-ml,,,pending_human_review,
https://doi.org/10.1175/jas-d-16-0131.1,Canonical Transfer and Multiscale Energetics for Primitive and Quasigeostrophic Atmospheres,2016,Journal of the Atmospheric Sciences,dynamics-weather-systems;remote-sensing-retrieval,,,pending_human_review,
https://doi.org/10.1175/jamc-d-15-0130.1,"The Microwave Radiative Properties of Falling Snow Derived from Nonspherical Ice Particle Models. Part I: An Extensive Database of Simulated Pristine Crystals and Aggregate Particles, and Their Scattering Properties",2016,Journal of Applied Meteorology and Climatology,dynamics-weather-systems;cloud-precipitation-microphysics;atmospheric-radiation;remote-sensing-retrieval;observations-instruments;hydrometeorology;land-atmosphere,,,pending_human_review,
https://doi.org/10.1175/jhm-d-15-0196.1,Confronting Weather and Climate Models with Observational Data from Soil Moisture Networks over the United States,2016,Journal of Hydrometeorology,dynamics-weather-systems;remote-sensing-retrieval;observations-instruments;climate-variability-change;hydrometeorology;land-atmosphere,,,pending_human_review,
https://doi.org/10.1175/bams-d-20-0193.1,50 Grades of Shade,2021,Bulletin of the American Meteorological Society,air-quality-exposure;land-atmosphere,,,pending_human_review,
https://doi.org/10.1002/qj.3746,The evaluation of FY4A 's Geostationary Interferometric Infrared Sounder ( GIIRS ) long‐wave temperature sounding channels using the GRAPES global 4D‐Var,2020,Quarterly Journal of the Royal Meteorological Society,dynamics-weather-systems;observations-instruments;climate-variability-change,,,pending_human_review,
https://doi.org/10.1029/2018jd028776,Volcanic Radiative Forcing From 1979 to 2015,2018,Journal of Geophysical Research: Atmospheres,atmospheric-radiation;atmospheric-chemistry;aerosols;climate-variability-change,,,pending_human_review,
https://doi.org/10.1029/2023jd039538,Anzali Wetland Crisis: Unraveling the Decline of Iran's Ecological Gem,2024,Journal of Geophysical Research: Atmospheres,ocean-atmosphere,,,pending_human_review,
https://doi.org/10.1175/jhm-d-16-0112.1,Comparison and Assessment of Three Advanced Land Surface Models in Simulating Terrestrial Water Storage Components over the United States,2016,Journal of Hydrometeorology,remote-sensing-retrieval;observations-instruments;climate-variability-change;hydrometeorology;land-atmosphere,,,pending_human_review,
https://doi.org/10.1007/s10546-020-00570-5,Large-Eddy Simulations of Stratified Atmospheric Boundary Layers: Comparison of Different Subgrid Models,2020,Boundary-Layer Meteorology,dynamics-weather-systems;boundary-layer-turbulence,,,pending_human_review,
https://doi.org/10.1002/asl.669,Genesis of westerly wind bursts over the equatorial western Pacific during the onset of the strong 2015–2016 El Niño,2016,Atmospheric Science Letters,dynamics-weather-systems;climate-variability-change,,,pending_human_review,
https://doi.org/10.1007/s00382-017-3664-3,Quantitative Holocene climatic reconstructions for the lower Yangtze region of China,2017,Climate Dynamics,paleoclimate,,,pending_human_review,
https://doi.org/10.1175/waf-d-17-0096.1,A 10-Year Survey of Tropical Cyclone Inner-Core Lightning Bursts and Their Relationship to Intensity Change,2017,Weather and Forecasting,dynamics-weather-systems;climate-variability-change,,,pending_human_review,
https://doi.org/10.4209/aaqr.2017.11.0466,Seasonal Variation in Culturable Bioaerosols in a Wastewater Treatment Plant,2018,Aerosol and Air Quality Research,aerosols;air-quality-exposure,,,pending_human_review,
https://doi.org/10.1002/met.1931,Linking weather patterns to regional extreme precipitation for highlighting potential flood events in medium‐ to long‐range forecasts,2020,Meteorological Applications,forecasting-predictability;cloud-precipitation-microphysics;climate-variability-change;extremes,,,pending_human_review,
https://doi.org/10.1175/jhm-d-18-0006.1,Impacts of Atmospheric Rivers on Precipitation in Southern South America,2018,Journal of Hydrometeorology,dynamics-weather-systems;cloud-precipitation-microphysics;climate-variability-change,,,pending_human_review,
https://doi.org/10.1002/joc.5975,Fifteen‐year statistical analysis of cloud characteristics over China using Terra and Aqua Moderate Resolution Imaging Spectroradiometer observations,2018,International Journal of Climatology,cloud-precipitation-microphysics;atmospheric-chemistry;aerosols;remote-sensing-retrieval;observations-instruments;statistics-causal-ml,,,pending_human_review,
https://doi.org/10.4209/aaqr.2018.10.0372,Preparation of CoFe2O4-Graphene Composites Using Aerosol Spray Pyrolysis for Supercapacitors Application,2018,Aerosol and Air Quality Research,aerosols,,,pending_human_review,
https://doi.org/10.1007/s10546-020-00567-0,Drag Distribution in Idealized Heterogeneous Urban Environments,2020,Boundary-Layer Meteorology,dynamics-weather-systems;land-atmosphere,,,pending_human_review,
https://doi.org/10.1007/s10546-017-0242-5,Seasonal Variations in Drag Coefficient over a Sastrugi-Covered Snowfield in Coastal East Antarctica,2017,Boundary-Layer Meteorology,observations-instruments,,,pending_human_review,
https://doi.org/10.1175/bams-d-18-0013.1,New Era of Air Quality Monitoring from Space: Geostationary Environment Monitoring Spectrometer (GEMS),2019,Bulletin of the American Meteorological Society,dynamics-weather-systems;atmospheric-chemistry;aerosols;air-quality-exposure,,,pending_human_review,
https://doi.org/10.1007/s10546-017-0326-2,Air–Sea/Land Interaction in the Coastal Zone,2017,Boundary-Layer Meteorology,climate-variability-change,,,pending_human_review,
https://doi.org/10.1175/jas-d-19-0042.1,An Observational Overview of Dusty Deep Convection in Martian Dust Storms,2019,Journal of the Atmospheric Sciences,dynamics-weather-systems;aerosols;observations-instruments,,,pending_human_review,
https://doi.org/10.1175/jtech-d-16-0110.1,Cloud-Base Height Estimation from VIIRS. Part II: A Statistical Algorithm Based on A-Train Satellite Data,2016,Journal of Atmospheric and Oceanic Technology,cloud-precipitation-microphysics;atmospheric-radiation;atmospheric-chemistry;aerosols;remote-sensing-retrieval;statistics-causal-ml,,,pending_human_review,
https://doi.org/10.1038/s41612-017-0007-3,Severe effects of long-term drought on calcareous grassland seed banks,2018,npj Climate and Atmospheric Science,dynamics-weather-systems;extremes;land-atmosphere,,,pending_human_review,
https://doi.org/10.1007/s10546-018-0419-6,"Stable Surface-Based Turbulent Layer During the Polar Winter at Dome C, Antarctica: Sodar and In Situ Observations",2019,Boundary-Layer Meteorology,cloud-precipitation-microphysics;aerosols;observations-instruments,,,pending_human_review,
https://doi.org/10.1175/jhm-d-16-0188.1,Recent Evidence of Large-Scale Receding Snow Water Equivalents in the European Alps,2017,Journal of Hydrometeorology,observations-instruments;climate-variability-change;hydrometeorology,,,pending_human_review,
https://doi.org/10.1002/asl.657,Entrainment and droplet spectral characteristics in convective clouds during transition to monsoon,2016,Atmospheric Science Letters,dynamics-weather-systems;cloud-precipitation-microphysics;atmospheric-chemistry;aerosols,,,pending_human_review,
https://doi.org/10.5194/esd-10-617-2019,Modeling forest plantations for carbon uptake with the LPJmL dynamic global vegetation model,2019,Earth System Dynamics,land-atmosphere,,,pending_human_review,
https://doi.org/10.1175/mwr-d-19-0372.1,Deep Learning on Three-Dimensional Multiscale Data for Next-Hour Tornado Prediction,2020,Monthly Weather Review,dynamics-weather-systems;forecasting-predictability;extremes;statistics-causal-ml,,,pending_human_review,
https://doi.org/10.5194/wcd-5-439-2024,Analysing 23 years of warm-season derechos in France: a climatology and investigation of synoptic and environmental changes,2024,Weather and Climate Dynamics,climate-variability-change,,,pending_human_review,
https://doi.org/10.1002/qj.4228,Assimilation of satellite data in numerical weather prediction. Part II : Recent years,2021,Quarterly Journal of the Royal Meteorological Society,forecasting-predictability;cloud-precipitation-microphysics;aerosols;remote-sensing-retrieval;numerical-weather-prediction;climate-variability-change,,,pending_human_review,
https://doi.org/10.1007/s10546-017-0233-6,Large-Eddy Simulation of the Gust Index in an Urban Area Using the Lattice Boltzmann Method,2017,Boundary-Layer Meteorology,dynamics-weather-systems;boundary-layer-turbulence;land-atmosphere,,,pending_human_review,
https://doi.org/10.1002/asl.1043,Evaluation of analytical solution of advection diffusion equation in three dimensions,2021,Atmospheric Science Letters,unclassified,,,pending_human_review,
https://doi.org/10.1175/bams-d-17-0157.1,Defining “Atmospheric River”: How the Glossary of Meteorology Helped Resolve a Debate,2018,Bulletin of the American Meteorological Society,climate-variability-change,,,pending_human_review,
https://doi.org/10.1038/s41612-018-0013-0,The sub-seasonal to seasonal prediction project (S2S) and the prediction of extreme events,2018,npj Climate and Atmospheric Science,dynamics-weather-systems;forecasting-predictability;climate-variability-change;extremes,,,pending_human_review,
https://doi.org/10.1175/jhm-d-18-0094.1,Moisture Source Changes Contributed to Different Precipitation Changes over the Northern and Southern Tibetan Plateau,2019,Journal of Hydrometeorology,cloud-precipitation-microphysics;observations-instruments;climate-variability-change,,,pending_human_review,
https://doi.org/10.1016/j.atmosenv.2016.10.024,Development of a baseline-temperature correction methodology for electrochemical sensors and its implications for long-term stability,2016,Atmospheric Environment,forecasting-predictability;atmospheric-chemistry;air-quality-exposure;observations-instruments;climate-variability-change,,,pending_human_review,
https://doi.org/10.1175/jhm-d-17-0161.1,How Does the Evaluation of the GPM IMERG Rainfall Product Depend on Gauge Density and Rainfall Intensity?,2017,Journal of Hydrometeorology,cloud-precipitation-microphysics;remote-sensing-retrieval;observations-instruments;hydrometeorology;land-atmosphere,,,pending_human_review,
https://doi.org/10.4209/aaqr.2018.01.0031,"Quantity, Size Distribution, and Characteristics of Cough-generated Aerosol Produced by Patients with an Upper Respiratory Tract Infection",2018,Aerosol and Air Quality Research,aerosols;air-quality-exposure,,,pending_human_review,
https://doi.org/10.1175/jhm-d-15-0157.1,Assimilation of Gridded GRACE Terrestrial Water Storage Estimates in the North American Land Data Assimilation System,2016,Journal of Hydrometeorology,observations-instruments;numerical-weather-prediction,,,pending_human_review,
https://doi.org/10.1029/2019gl085291,Physics‐Constrained Machine Learning of Evapotranspiration,2019,Geophysical Research Letters,dynamics-weather-systems;hydrometeorology;land-atmosphere;statistics-causal-ml,,,pending_human_review,
https://doi.org/10.5194/cp-18-1883-2022,A new global surface temperature reconstruction for the Last Glacial Maximum,2022,Climate of the Past,observations-instruments;climate-variability-change;paleoclimate,,,pending_human_review,
https://doi.org/10.4209/aaqr.2018.04.0131,"Chemical Composition of Particulate Matter from Traffic Emissions in a Road Tunnel in Xi’an, China",2018,Aerosol and Air Quality Research,atmospheric-chemistry;aerosols;air-quality-exposure,,,pending_human_review,
https://doi.org/10.1175/bams-d-18-0023.1,A Scale to Characterize the Strength and Impacts of Atmospheric Rivers,2018,Bulletin of the American Meteorological Society,climate-variability-change;extremes;hydrometeorology,,,pending_human_review,
https://doi.org/10.1002/qj.3129,Assessment of the World Wide Lightning Location Network (WWLLN) detection efficiency by comparison to the Lightning Imaging Sensor (LIS),2017,Quarterly Journal of the Royal Meteorological Society,cloud-precipitation-microphysics;aerosols;observations-instruments;climate-variability-change,,,pending_human_review,
https://doi.org/10.1029/2021ef001996,"The COVID‐19 Pandemic Not Only Poses Challenges, but Also Opens Opportunities for Sustainable Transformation",2021,Earth's Future,air-quality-exposure,,,pending_human_review,
https://doi.org/10.5194/esd-9-313-2018,A bias-corrected CMIP5 dataset for Africa using the CDF-t method – a contribution to agricultural impact studies,2018,Earth System Dynamics,climate-variability-change;earth-system-models,,,pending_human_review,
https://doi.org/10.1007/s00382-019-04700-9,Future projections of heat waves over India from CMIP5 models,2019,Climate Dynamics,dynamics-weather-systems;air-quality-exposure;climate-variability-change;earth-system-models,,,pending_human_review,
https://doi.org/10.5194/cp-12-849-2016,Sea surface temperature variability in the central-western Mediterranean Sea during the last 2700 years: a multi-proxy and multi-record approach,2016,Climate of the Past,ocean-atmosphere;paleoclimate,,,pending_human_review,
https://doi.org/10.1175/jcli-d-15-0655.1,All-Season Climatology and Variability of Atmospheric River Frequencies over the North Pacific,2016,Journal of Climate,dynamics-weather-systems;climate-variability-change,,,pending_human_review,
https://doi.org/10.1175/jhm-d-15-0138.1,Can Precipitation and Temperature from Meteorological Reanalyses Be Used for Hydrological Modeling?,2016,Journal of Hydrometeorology,cloud-precipitation-microphysics;observations-instruments;climate-variability-change;hydrometeorology,,,pending_human_review,
https://doi.org/10.1002/met.1877,"Mapping and monitoring of glacier lake outburst floods using geospatial modelling approach for Darkut valley, Pakistan",2020,Meteorological Applications,observations-instruments;extremes;hydrometeorology,,,pending_human_review,
https://doi.org/10.1175/jhm-d-18-0013.1,Synoptic-Scale Control over Modern Rainfall and Flood Patterns in the Levant Drylands with Implications for Past Climates,2018,Journal of Hydrometeorology,dynamics-weather-systems;cloud-precipitation-microphysics;climate-variability-change;extremes,,,pending_human_review,
https://doi.org/10.1175/bams-d-19-0198.1,Going to Extremes: Installing the World’s Highest Weather Stations on Mount Everest,2020,Bulletin of the American Meteorological Society,observations-instruments;extremes,,,pending_human_review,
https://doi.org/10.1029/2020gl092069,"A Unified Clumped Isotope Thermometer Calibration (0.5–1,100°C) Using Carbonate‐Based Standardization",2021,Geophysical Research Letters,atmospheric-chemistry,,,pending_human_review,
https://doi.org/10.1016/j.atmosres.2016.02.012,Hail observations and hailstorm characteristics in Europe: A review,2016,Atmospheric Research,dynamics-weather-systems;observations-instruments,,,pending_human_review,
https://doi.org/10.1002/qj.2949,A reassessment of temperature variations and trends from global reanalyses and monthly surface climatological datasets,2016,Quarterly Journal of the Royal Meteorological Society,observations-instruments;climate-variability-change,,,pending_human_review,
https://doi.org/10.1175/bams-d-15-00082.1,Smoke and Clouds above the Southeast Atlantic: Upcoming Field Campaigns Probe Absorbing Aerosol’s Impact on Climate,2016,Bulletin of the American Meteorological Society,cloud-precipitation-microphysics;atmospheric-chemistry;aerosols;observations-instruments,,,pending_human_review,
https://doi.org/10.1016/j.atmosenv.2016.09.050,Assessment of air quality microsensors versus reference methods: The EuNetAir joint exercise,2016,Atmospheric Environment,forecasting-predictability;atmospheric-chemistry;aerosols;air-quality-exposure;observations-instruments;climate-variability-change,,,pending_human_review,
https://doi.org/10.5194/acp-18-339-2018,Agricultural ammonia emissions in China: reconciling bottom-up and top-down estimates,2018,Atmospheric Chemistry and Physics,dynamics-weather-systems;atmospheric-chemistry;aerosols,,,pending_human_review,
https://doi.org/10.1007/s10546-018-0383-1,Partitioning Eddy-Covariance Methane Fluxes from a Shallow Lake into Diffusive and Ebullitive Fluxes,2018,Boundary-Layer Meteorology,dynamics-weather-systems;atmospheric-chemistry;climate-variability-change,,,pending_human_review,
https://doi.org/10.1038/s41612-023-00512-1,FuXi: a cascade machine learning forecasting system for 15-day global weather forecast,2023,npj Climate and Atmospheric Science,forecasting-predictability;climate-variability-change;hydrometeorology;statistics-causal-ml,,,pending_human_review,
https://doi.org/10.5194/gmd-11-2717-2018,An update on the RTTOV fast radiative transfer model (currently at version 12),2018,Geoscientific Model Development,dynamics-weather-systems;cloud-precipitation-microphysics;atmospheric-radiation;atmospheric-chemistry;aerosols,,,pending_human_review,
https://doi.org/10.1175/mwr-d-17-0356.1,A Three-Dimensional Scale-Adaptive Turbulent Kinetic Energy Scheme in the WRF-ARW Model,2018,Monthly Weather Review,dynamics-weather-systems;numerical-weather-prediction;climate-variability-change,,,pending_human_review,
https://doi.org/10.1175/jhm-d-15-0197.1,Multiregional Satellite Precipitation Products Evaluation over Complex Terrain,2016,Journal of Hydrometeorology,cloud-precipitation-microphysics;remote-sensing-retrieval;observations-instruments;hydrometeorology;land-atmosphere,,,pending_human_review,
https://doi.org/10.1175/jcli-d-19-0084.1,Future Global Meteorological Drought Hot Spots: A Study Based on CORDEX Data,2019,Journal of Climate,observations-instruments;climate-variability-change;extremes;hydrometeorology,,,pending_human_review,
https://doi.org/10.1016/j.apr.2018.10.008,Long-term (1995–2018) aerosol optical depth derived using ground based AERONET and SKYNET measurements from aerosol aged-background sites,2018,Atmospheric Pollution Research,cloud-precipitation-microphysics;atmospheric-chemistry;aerosols;observations-instruments,,,pending_human_review,
https://doi.org/10.1007/s00704-019-02988-5,Evaluation of rainfall trends in the South Island of New Zealand through the innovative trend analysis (ITA),2019,Theoretical and Applied Climatology,cloud-precipitation-microphysics;observations-instruments;climate-variability-change,,,pending_human_review,
https://doi.org/10.1175/waf-d-18-0074.1,Probabilistic Skill of Subseasonal Precipitation Forecasts for the East Africa–West Asia Sector during September–May,2018,Weather and Forecasting,forecasting-predictability;cloud-precipitation-microphysics;climate-variability-change;extremes;hydrometeorology,,,pending_human_review,
